Year,Units,Value
2013,All 4 sectors,6.40136E-08
2014,All 4 sectors,6.38333E-08
2015,All 4 sectors,6.44804E-08
2016,All 4 sectors,6.47351E-08
2013,"Agriculture, Forestry and Other Land Use ",7.54298E-07
2014,"Agriculture, Forestry and Other Land Use ",7.39423E-07
2015,"Agriculture, Forestry and Other Land Use ",7.04509E-07
2016,"Agriculture, Forestry and Other Land Use ",6.87265E-07
2013,Energy,1.31899E-05
2014,Energy,1.33402E-05
2015,Energy,1.18788E-05
2016,Energy,1.34014E-05
2013,Industrial Processes & Product Use,1.26773E-08
2014,Industrial Processes & Product Use,1.75636E-08
2015,Industrial Processes & Product Use,1.90216E-08
2016,Industrial Processes & Product Use,1.78773E-08
2013,Waste,1.89265E-08
2014,Waste,1.58669E-08
2015,Waste,1.39342E-08
2016,Waste,1.77762E-08
,,
,,
,,
,,
,,
